frame_number,timestamp_ms,angle_left_elbow,angle_right_elbow,angle_left_shoulder,angle_right_shoulder,angle_left_hip,angle_right_hip,angle_left_knee,angle_right_knee,angle_left_ankle,angle_right_ankle,angle_upper_back,angle_lower_back
0,0.0,,,,,,,,,,,,
1,33.32761087267525,,,,,,,,,,,,
2,66.6552217453505,,,,,,,,,,,,
3,99.98283261802575,,,,,,,,,,,,
4,133.310443490701,91.4391391116255,,55.946345901486964,,179.10795992731198,77.54950777357038,139.5963769943812,143.12170810282424,128.7846830898206,155.9271742504398,179.95965648618466,118.55432822474765
5,166.63805436337626,115.27734737698307,,98.76035586545696,,124.24898512663438,114.50008628533176,23.871834353997826,106.60683153117851,154.52455923242348,101.29338259259782,179.98571238848814,120.72484681718429
6,199.9656652360515,,,,,,,,,,,,
7,233.29327610872673,160.01436917656042,,148.60362010326492,,136.61849961629656,136.5526707603657,158.6120958992489,162.91450196574934,146.25333466748887,150.55367566309107,179.98227883127535,136.5745832882096
8,266.620886981402,158.36214636252944,,145.63958628171957,,122.69902324306186,123.0344532964104,158.09885102824413,166.81769409393837,138.46180179616763,109.5773708556924,179.98302246747488,122.80890599204793
9,299.94849785407723,154.63369614610684,,140.76236521244215,,113.52232787829351,113.79886992005663,144.97599860845412,147.96689396547205,144.37324445948113,139.6861928291811,179.973721047706,113.58604898647782
10,333.2761087267525,156.02514149797145,,140.76856975300433,,108.58116847319518,108.50904840763073,149.3830126832743,135.2814493169217,144.89999886379118,151.5910510643012,179.96645526224094,108.55320754481538
11,366.6037195994278,155.76451963278453,,141.6612773673262,,99.9417528730184,103.76854507089655,146.98977188019353,155.03237101545915,142.64838407873646,144.86156981814307,179.9494406182697,101.7420160182775
12,399.931330472103,153.65390556040862,,140.05481598666273,,97.10752264610093,99.113079972973,147.7323776076879,150.77977751815743,142.97653694675864,132.35094436605402,179.96822310676598,98.08362194804016
13,433.2589413447783,161.31283936158448,,140.64160304861093,,101.23475304918698,100.38581164046768,153.01429333921357,150.50989039026854,144.94940048794265,139.32087636040706,179.9852876531072,100.81181216990059
14,466.58655221745346,168.732425474946,,141.90343057131926,,107.08289040822625,101.99481807633148,148.5811630636249,145.33154194190362,137.29187718088684,138.1754546259191,179.99057569992812,104.53253321998362
15,499.91416309012874,163.29166290691876,,140.94815099087376,,111.77636847579582,107.79262663737534,145.56342171688758,145.93253899790966,157.6206318255226,156.59249350861106,179.9863558399613,109.77194970239395
16,533.241773962804,165.68573595551476,,139.79306709084034,,122.0546629027875,128.4973208999706,143.82503620846035,149.05993215599904,167.5782082185986,158.42399070246086,179.9559892785665,125.19857757639248
