frame_number,timestamp_ms,angle_left_ankle,angle_left_elbow,angle_left_hip,angle_left_knee,angle_left_shoulder,angle_lower_back,angle_right_ankle,angle_right_elbow,angle_right_hip,angle_right_knee,angle_right_shoulder,angle_upper_back,speed_center_of_mass,speed_left_ankle,speed_left_elbow,speed_left_heel,speed_left_hip,speed_left_knee,speed_left_shoulder,speed_left_wrist,speed_nose,speed_right_ankle,speed_right_elbow,speed_right_heel,speed_right_hip,speed_right_knee,speed_right_shoulder,speed_right_wrist,velocity_center_of_mass_x,velocity_center_of_mass_y,velocity_left_hip_x,velocity_left_hip_y,velocity_left_wrist_x,velocity_left_wrist_y,velocity_right_hip_x,velocity_right_hip_y,velocity_right_wrist_x,velocity_right_wrist_y
0,0.0,151.464917633233,,168.29961682349463,177.4853629543061,,165.83831963790263,136.8845824976171,,149.8937645676796,127.01673834901574,,179.99873297718406,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33.338081671415004,135.83551937922152,,167.03106256301152,178.15535799483342,,163.49828671520388,133.57241518781532,,145.9167329223963,123.43415178369453,,179.99876185482069,209.83681280862223,217.52974529962165,868.0932632006839,679.1114886055764,210.24985020474801,91.57088991088328,29.683630099815186,840.436308470527,287.98473118408896,212.62187812324916,188.05421495097343,278.8472712729879,209.96638325472114,232.81326986099978,64.79324186790949,60.95199233391276,-25.64159147319351,208.26424752319494,-15.065002196909203,209.70943045062637,-780.3968498975426,311.95183164321907,-36.21818074947782,206.8190645957635,-13.516408020810616,59.43443516757206
2,66.67616334283001,178.29284736414206,,162.33454856543185,172.27380756355478,,160.5469937837559,135.7677787448375,,137.9698663205701,117.35708618320352,,179.9988414634519,193.5281449760016,294.2653668779191,1195.0912704734812,389.04461364376704,205.711598075132,181.6815416316887,151.32079201294388,1031.6136480607552,282.7361226881709,539.3259559725001,315.6994366592577,541.7466677089643,182.10056254951533,531.8718057224224,53.29279943662799,107.12919321490836,-38.28088115922509,189.70428839519042,-52.460075901913314,198.91003498815775,-1015.7986119879802,179.9441545272108,-24.10168641653687,180.4985418022231,-13.595575553503934,-106.26299621338622
3,100.014245014245,170.64002623569448,,155.6127989360575,163.47513927396733,,158.39837754911332,137.66149461505165,,131.445918691489,116.79023196711027,,179.9989366438603,148.43962533272372,476.1597180867855,1038.005762786255,464.51287636979316,162.63259678235815,271.2115715549506,228.6402166518193,1070.957469640836,338.59502353700236,587.6701067138774,409.56441518515896,597.4448289249598,138.95497457034102,565.7070468026546,36.601968654055014,426.5613540573451,-49.36739301905641,139.98993847924004,-78.31792990343979,142.5330256179703,-1067.5008035830124,85.9763695972629,-20.416856134673026,137.44685134050974,-19.092248148633587,-426.13386961830054
4,133.35232668566002,168.91825736319862,,141.86818795391744,149.06800137090573,,155.2900116520071,144.08794382410107,,128.08603659272865,120.87637746320422,,179.99904641012813,83.60614295002192,663.9176926040287,1143.0065661611898,504.9974671966479,123.60465364904657,527.4654086641293,410.0891037933885,1526.9017843540278,415.5318811386304,710.4847762693353,581.8323346502311,769.7437256703836,58.04111608141172,606.2822074429704,32.64397454264888,1035.39942971581,-56.26333566357855,61.841929133776134,-104.37048454431367,66.21867077861005,-1526.6068420795918,-30.01014460628995,-8.156186782843434,57.46518748894221,-84.28703314082064,-1031.9630202193016
5,166.69040835707503,167.70681973583254,,132.1622317978192,137.28638975873758,,156.57928640025983,144.09127078832267,,128.04063507258317,127.98288233595272,,179.99908063800035,104.2363924177525,683.3602008137536,854.8707469075661,542.6102218402924,121.66854709043982,640.9768646987615,405.78448310831374,1818.9880313366427,486.04493279774795,717.9732924351173,824.9430512698591,875.3082583093206,107.63073278189695,449.2212670164921,188.31019846870373,1545.876506693765,-50.82265961596369,-91.00704793491317,-96.17503581436216,-74.52246531888709,-1777.9425183111337,-384.236723553878,-5.47028341756521,-107.49163055093926,-131.48118084167385,-1540.2749342348582
6,200.02849002849,164.62324631966325,,128.17560130521647,131.33181556943887,,159.03326333366473,146.63878725845004,179.24192410235597,128.982470899494,134.26623090256336,177.54145958457667,179.9991010679757,162.3460031863086,441.4227534150679,827.5401602314242,439.01431440814997,150.35401141743355,558.7404339514924,406.29492571040396,1838.2961989596338,464.7794489430299,689.9631058275753,675.0261773223547,847.2318961036543,192.9752175213613,321.54404046656856,226.02784594201643,1153.883007589036,-51.186958994048396,-154.06531075978955,-96.56829892392004,-115.2427541854765,-1782.506236933589,-449.44902981572164,-5.80561906417675,-192.88786733410262,-169.64379343071687,-1141.3443733392457
7,233.36657169990502,179.08191186007872,,124.5106857169887,127.22765052786808,,159.91318892915174,156.77684375064652,177.83240155444068,130.49847509979676,140.19523516431076,178.5850661771968,179.99911046823792,193.5615427219254,227.16755300925587,535.0202359174406,210.65030409105452,177.8613003138707,337.918000767384,329.3090260853742,1315.7921443431558,547.5816197353752,671.6951128963648,588.7392317829873,814.4914319870682,225.93581932782664,248.43122816460928,325.7529663460142,687.5061306105379,-57.55318717185019,-184.80720079924845,-104.49599404736405,-143.92786171340887,-1178.5847592635673,-585.0187452952248,-10.610380296336333,-225.68653988508805,-128.5532694089754,-675.3804383836841
8,266.70465337132003,159.7006589483006,,124.67860604243991,125.58126210946432,,161.4512980793745,154.84453077745198,179.93387257818085,131.30051647556584,145.5171776834788,178.14015008011597,179.99911494181816,132.71295407277455,26.647707867853217,384.9222473192302,128.65744698215954,148.34990805733128,209.8610201202535,328.35941601696163,580.1692149333425,460.7563806577352,612.6447121431066,372.064528237845,713.5136503390506,133.84850845442506,108.18398512313765,319.93208121363426,229.15903570551964,-82.51155640151558,-103.94503951089672,-124.78026065573769,-80.23454225771347,-499.043806005689,-295.8911922374965,-40.242852147293476,-127.65553676407997,-133.23123386113025,-186.44919406992472
9,300.04273504273505,160.93018295039536,176.08379552869997,130.99337574402819,131.67170423990214,169.12757843276196,160.46784718626117,156.70743277312863,177.13686025961778,131.03212414860573,147.46527257000298,175.08927436350956,179.99913492757176,118.0222552349026,42.25175936068976,304.15580643909453,227.63370808548655,155.4405075413494,117.84263338108282,329.5360257239289,284.6912248277877,417.9244731384261,510.84107367448405,191.00837659160848,608.1441356026751,87.8140748924365,62.530267552142305,296.8259787946105,152.7389467577587,-104.33894625893177,-55.16010355599636,-148.30653427367434,-46.55022316212634,-122.90019266389066,-256.79687719504017,-60.3713582441892,-63.769983949866365,-137.02355176868338,-67.48134644006736
